ANO;GEO_COD;GEO_COD_DSG;NIVEL;NIVEL_DSG;N_EDIFICIOS_CLASSICOS;N_EDIFICIOS_CLASSICOS_1OU2;N_EDIFICIOS_CLASSICOS_ISOLADOS ;N_EDIFICIOS_CLASSICOS_GEMIN;N_EDIFICIOS_CLASSICOS_EMBANDA;N_EDIFICIOS_CLASSICOS_3OUMAIS;N_EDIFICIOS_CLASSICOS_OUTROS;N_EDIFICIOS_EXCLUSIV_RESID;N_EDIFICIOS_PRINCIPAL_RESID;N_EDIFICIOS_PRINCIP_NAO_RESID;N_EDIFICIOS_1OU2_PISOS;N_EDIFICIOS_3OU4_PISOS;.N_EDIFICIOS_5OU_MAIS_PISOS;N_EDIFICIOS_CONSTR_ANTES_1919;N_EDIFICIOS_CONSTR_1919A1945;N_EDIFICIOS_CONSTR_1946A1960;N_EDIFICIOS_CONSTR_1961A1970;N_EDIFICIOS_CONSTR_1971A1980;N_EDIFICIOS_CONSTR_1981A1990;N_EDIFICIOS_CONSTR_1991A1995;N_EDIFICIOS_CONSTR_1996A2000;N_EDIFICIOS_CONSTR_2001A2005;N_EDIFICIOS_CONSTR_2006A2011;N_EDIFICIOS_ESTRUT_BETAO;N_EDIFICIOS_ESTRUT_COM_PLACA;N_EDIFICIOS_ESTRUT_SEM_PLACA;N_EDIFICIOS_ESTRUT_ADOBE_PEDRA;N_EDIFICIOS_ESTRUT_OUTRA;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS;N_RES_HABITUAL_COM_AGUA;N_RES_HABITUAL_COM_RETRETE;N_RES_HABITUAL_COM_ESGOTOS;N_RES_HABITUAL_COM_BANHO;N_RES_HABITUAL_AREA_50;N_RES_HABITUAL_AREA_50_100;N_RES_HABITUAL_AREA_100_200;N_RES_HABITUAL_AREA_200;N_RES_HABITUAL_1_2_DIV;N_RES_HABITUAL_3_4_DIV;N_RES_HABITUAL_ESTAC_1;N_RES_HABITUAL_ESTAC_2;N_RES_HABITUAL_ESTAC_3;N_RES_HABITUAL_PROP_OCUP;N_RES_HABITUAL_ARREND;N_FAMILIAS_CLASSICAS;N_FAMILIAS_INSTITUCIONAIS;N_FAMILIAS_CLASSICAS_1OU2_PESS;N_FAMILIAS_CLASSICAS_3OU4_PESS;N_FAMILIAS_CLASSICAS_NPES65;N_FAMILIAS_CLASSICAS_NPES14;N_FAMILIAS_CLASSIC_SEM_DESEMP;N_FAMILIAS_CLASSIC_1DESEMPREG;N_FAMILIAS_CLASS_2MAIS_DESEMP;N_NUCLEOS_FAMILIARES;N_NUCLEOS_1FILH_NAO_CASADO;N_NUCLEOS_2FILH_NAO_CASADO;N_NUCLEOS_FILH_INF_6ANOS;N_NUCLEOS_FILH_INF_15ANOS;N_NUCLEOS_FILH_MAIS_15ANOS;N_INDIVIDUOS_PRESENT;N_INDIVIDUOS_PRESENT_H;N_INDIVIDUOS_PRESENT_M;N_INDIVIDUOS_RESIDENT;N_INDIVIDUOS_RESIDENT_H;N_INDIVIDUOS_RESIDENT_M;N_INDIVIDUOS_RESIDENT_0A4;N_INDIVIDUOS_RESIDENT_5A9;N_INDIVIDUOS_RESIDENT_10A13;N_INDIVIDUOS_RESIDENT_14A19;N_INDIVIDUOS_RESIDENT_15A19;N_INDIVIDUOS_RESIDENT_20A24;N_INDIVIDUOS_RESIDENT_20A64;N_INDIVIDUOS_RESIDENT_25A64;N_INDIVIDUOS_RESIDENT_65;N_INDIVIDUOS_RESIDENT_H_0A4;N_INDIVIDUOS_RESIDENT_H_5A9;N_INDIVIDUOS_RESIDENT_H_10A13;N_INDIVIDUOS_RESIDENT_H_14A19;N_INDIVIDUOS_RESIDENT_H_15A19;N_INDIVIDUOS_RESIDENT_H_20A24;N_INDIVIDUOS_RESIDENT_H_20A64;N_INDIVIDUOS_RESIDENT_H_25A64;N_INDIVIDUOS_RESIDENT_H_65;N_INDIVIDUOS_RESIDENT_M_0A4;N_INDIVIDUOS_RESIDENT_M_5A9;N_INDIVIDUOS_RESIDENT_M_10A13;N_INDIVIDUOS_RESIDENT_M_14A19;N_INDIVIDUOS_RESIDENT_M_15A19;N_INDIVIDUOS_RESIDENT_M_20A24;N_INDIVIDUOS_RESIDENT_M_20A64;N_INDIVIDUOS_RESIDENT_M_25A64;N_INDIVIDUOS_RESIDENT_M_65;N_INDIV_RESIDENT_N_LER_ESCRV;N_IND_RESIDENT_FENSINO_1BAS;N_IND_RESIDENT_FENSINO_2BAS;N_IND_RESIDENT_FENSINO_3BAS;N_IND_RESIDENT_FENSINO_SEC;N_IND_RESIDENT_FENSINO_POSSEC;N_IND_RESIDENT_FENSINO_SUP;N_IND_RESIDENT_ENSINCOMP_1BAS;N_IND_RESIDENT_ENSINCOMP_2BAS;N_IND_RESIDENT_ENSINCOMP_3BAS;N_IND_RESIDENT_ENSINCOMP_SEC;N_IND_RESIDENT_ENSINCOMP_POSEC;N_IND_RESIDENT_ENSINCOMP_SUP;N_IND_RESID_DESEMP_PROC_1EMPRG;N_IND_RESID_DESEMP_PROC_EMPRG;N_IND_RESID_EMPREGADOS;N_IND_RESID_PENS_REFORM;N_IND_RESID_SEM_ACT_ECON;N_IND_RESID_EMPREG_SECT_PRIM;N_IND_RESID_EMPREG_SECT_SEQ;N_IND_RESID_EMPREG_SECT_TERC;N_IND_RESID_ESTUD_MUN_RESID;N_IND_RESID_TRAB_MUN_RESID;
2011;'PT;PT;1;Total Nacional;3544389;3219791;1946604;542393;730794;283879;40719;3305062;213090;26237;3007616;432760;104013;206343;305696;387340;408831;588858;578845;268179;290292;300635;209370;1721109;1123774;481115;189072;29319;5878756;5866152;5859540;6612;12604;3991112;3997724;735128;3967328;3963079;3972819;3914531;395010;1656650;1630491;308961;92320;1531517;1283216;603213;267292;2923271;794465;4043726;4833;2144385;1636847;1374122;1114193;3465446;504233;74047;3226371;1222547;717936;509986;1105066;1247713;10282306;4868755;5413551;10562178;5046600;5515578;482647;525087;453728;676117;565250;582065;6414535;5832470;2010064;246396;268965;231797;345366;288525;293023;3111752;2818729;842324;236251;256122;221931;330751;276725;289042;3302783;3013741;1167740;499936;477565;269275;423199;423925;20437;379708;2688308;1412580;1716970;1411801;88023;1244742;122310;539870;4361187;2339094;3966482;133386;1154709;3073092;1773245;2860521;
2011;'1;Continente;2;NUT1;3353610;3035969;1820486;516785;698698;278222;39419;3121458;207292;24860;2837161;414564;101885;195169;288132;365612;390633;565368;546632;253730;272578;280855;194901;1599434;1098244;449413;178421;28098;5639257;5627555;5621098;6457;11702;3818574;3825031;704054;3795218;3791499;3800597;3744843;375514;1589794;1561429;291837;86278;1464798;1227153;576363;253646;2787428;769768;3869188;4579;2067662;1561048;1322168;1055022;3317385;481877;69926;3077900;1165089;680153;482354;1045429;1182662;9769564;4622125;5147439;10047621;4798798;5248823;456396;495578;427720;636083;531657;547836;6094056;5546220;1937788;232951;253866;218552;324869;271397;275607;2953606;2677999;814954;223445;241712;209168;311214;260260;272229;3140450;2868221;1122834;472919;447944;252148;398953;402148;19148;365049;2552130;1329508;1638624;1355254;83485;1198453;114999;515712;4150252;2257145;3782538;121055;1115357;2913840;1669455;2697144;
2011;'11;Norte;3;NUT2;1209911;1118014;744666;200722;172626;80452;11445;1116665;85088;8158;1025944;156160;27807;71817;87996;112397;133424;206637;216376;100530;104083;103963;72688;597409;399887;162483;40729;9403;1850890;1847784;1846589;1195;3106;1319665;1320860;202431;1309649;1309616;1312169;1286675;115891;495905;591224;116645;26615;451462;535743;255715;104671;952287;269178;1330892;1235;619531;606196;433272;402952;1110498;190183;30211;1133106;444543;274565;175937;399817;471561;3583442;1695397;1888045;3689682;1766260;1923422;163398;185453;166667;253792;212077;213799;2288933;2075134;631439;83422;94577;85491;129570;108207;107325;1109290;1001965;263910;79976;90876;81176;124222;103870;106474;1179643;1073169;367529;167451;168747;98335;158704;152953;6650;128913;1018389;563972;578950;437916;26221;375392;46644;207538;1501883;768566;1376384;43023;533848;925012;631487;1008020;
2011;'118;Alto Trás-os-Montes;4;NUT3;127220;123194;66466;26515;30213;3378;648;116407;10038;775;111979;13985;1256;7246;8900;11286;14503;25198;24046;10359;9218;9464;7000;53609;46859;18953;6844;955;150758;150341;150273;68;417;80923;80991;13832;80416;79539;80457;78792;4847;27305;40820;7951;1408;18543;26984;14074;6968;69622;7449;81245;136;47505;29412;37894;16504;73105;7194;946;63450;22166;12126;6949;16212;24235;199352;95444;103908;204381;98261;106120;6420;7639;6980;11621;9797;10235;114755;104520;56966;3273;3832;3632;5836;4903;5044;56704;51660;24984;3147;3807;3348;5785;4894;5191;58051;52860;31982;19472;6973;4131;6955;7089;464;7110;64137;24552;26866;22356;1194;18986;2546;6669;68441;63100;103862;7725;13567;47149;29828;58694;
2011;'1706;Montalegre;5;Municipio;10157;10036;5656;2176;2204;70;51;8929;1147;81;9291;844;22;1051;879;1193;1081;1700;1676;741;719;579;538;3414;4072;1841;632;198;10555;10521;10521;0;34;4222;4222;931;4154;4070;4156;4010;372;1688;1697;465;138;1171;1161;580;369;3822;122;4232;4;2600;1307;2349;692;3879;323;30;3161;1020;598;258;672;1312;10240;4960;5280;10537;5096;5441;240;314;348;602;501;478;5552;5074;3481;122;147;184;309;254;228;2790;2562;1544;118;167;164;293;247;250;2762;2512;1937;1471;290;219;369;282;12;264;3755;1288;1134;951;39;585;141;246;3098;3866;6049;692;604;1802;1235;2741;
2011;'170601;Cabril;6;Freguesia;433;431;301;130;0;1;1;428;2;3;380;52;1;84;71;34;31;54;60;23;24;36;16;21;312;72;27;1;440;439;439;0;1;212;212;0;209;204;209;199;44;89;66;13;13;50;50;32;15;204;2;212;1;128;67;116;35;195;17;0;158;49;28;15;35;62;518;251;267;553;265;288;16;19;16;27;25;22;281;259;194;9;8;8;19;17;11;137;126;84;7;11;8;8;8;11;144;133;110;93;17;14;23;16;1;9;206;76;46;33;1;22;6;11;146;222;337;31;50;65;73;107;
2011;'170602;Cambeses do Rio;6;Freguesia;154;154;45;0;109;0;0;18;136;0;133;21;0;5;7;2;17;10;24;10;27;33;19;94;21;16;23;0;154;154;154;0;0;59;59;16;58;54;58;53;28;20;9;2;9;23;12;3;3;56;0;59;0;44;11;43;5;57;2;0;42;5;7;3;5;9;129;58;71;130;58;72;4;3;3;6;5;3;57;54;57;2;0;2;3;3;2;24;22;27;2;3;1;3;2;1;33;32;30;24;3;1;3;3;0;1;50;13;8;11;0;2;0;2;34;64;83;14;2;18;11;34;
2011;'170603;Cervos;6;Freguesia;280;280;176;20;84;0;0;232;46;2;280;0;0;25;23;49;18;25;46;21;25;28;20;107;92;73;8;0;280;280;280;0;0;107;107;10;105;96;105;95;5;49;51;2;1;59;18;18;7;98;0;107;0;59;38;65;15;91;14;2;77;31;15;5;15;40;268;137;131;271;137;134;3;10;8;15;14;19;150;131;85;1;4;4;11;11;11;79;68;38;2;6;4;4;3;8;71;63;47;45;9;4;5;3;0;6;123;20;21;30;0;11;5;13;91;96;140;29;21;41;23;79;
2011;'170604;Chã;6;Freguesia;751;741;447;84;210;1;9;723;22;6;722;29;0;75;80;115;47;120;128;55;48;43;40;253;243;254;1;0;752;742;742;0;10;293;293;33;287;276;287;273;13;85;93;102;10;67;60;56;32;256;2;293;0;169;101;134;59;248;43;2;230;80;43;20;59;100;752;371;381;748;366;382;21;28;38;44;37;35;429;394;188;16;12;19;20;16;20;213;193;86;5;16;19;24;21;15;216;201;102;90;26;20;40;18;0;22;242;124;80;54;6;45;20;27;240;206;367;71;50;119;117;223;
2011;'170605;Contim;6;Freguesia;139;139;84;41;14;0;0;98;41;0;130;9;0;34;12;5;7;19;12;14;17;13;6;30;41;31;33;4;139;139;139;0;0;40;40;2;39;35;39;35;3;18;18;1;4;16;2;7;4;40;0;40;0;26;14;25;6;37;3;0;29;13;3;1;5;11;79;40;39;87;43;44;1;2;3;4;4;4;43;39;34;1;1;3;2;2;2;20;18;16;0;1;0;2;2;2;23;21;18;16;3;2;0;3;0;4;30;9;6;7;0;2;1;2;22;33;56;14;3;5;8;21;
