CÓDIGO;DESIGNAÇÃO;METAINFORMAÇÃO
ano;Ano do recenseamento;
geo_cod;Codigo da geografia utilizada;
geo_cod_dsg;Descrição da geografia utilizada;
nivel;Nivel de desagregação da linha;
nivel_dsg;Descrição do nivel de desagregação da linha;
n_edificios_classicos;Edifícios classicos;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005970
n_edificios_classicos_1ou2;Edificios clássicos construídos estruturalmente p/ possuir 1 ou 2 alojamentos ;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005970
n_edificios_classicos_isolados;Edificios clássicos isolados;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005970
n_edificios_classicos_gemin;Edificios clássicos geminados;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005970
n_edificios_classicos_embanda;Edificios clássicos em banda;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005970
n_edificios_classicos_3oumais;Edificios clássicos construídos estruturalmente p/ possuir 3 ou mais alojamentos ;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005970
n_edificios_classicos_outros;Outro tipo de edificio clássico;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005970
n_edificios_exclusiv_resid;Edifícios exclusivamente residenciais;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005969
n_edificios_principal_resid;Edifícios principalmente não residenciais;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005969
n_edificios_princip_nao_resid;Edifícios principalmente residenciais;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0005969
n_edificios_1ou2_pisos;Edifícios com 1 ou 2 pisos;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0006247
n_edificios_3ou4_pisos;Edifícios com 3 ou 4 pisos;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0006247
n_edificios_5ou_mais_pisos;Edifícios com 5 ou mais pisos;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0006247
n_edificios_constr_antes_1919;Edifícios construídos antes de 1919;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0006247
n_edificios_constr_1919a1945;Edifícios construídos entre 1919 e 1945;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0006247
n_edificios_constr_1946a1960;Edifícios construídos entre 1946 e 1960;http://www.ine.pt/bddXplorer/htdocs/minfo.jsp?var_cd=0006247
