Date;Deaths
01/01/09;423
02/01/09;435
03/01/09;416
04/01/09;380
05/01/09;446
06/01/09;408
07/01/09;391
08/01/09;404
09/01/09;373
10/01/09;382
11/01/09;448
12/01/09;429
13/01/09;417
14/01/09;386
15/01/09;402
16/01/09;419
17/01/09;372
18/01/09;396
19/01/09;429
20/01/09;391
21/01/09;392
22/01/09;368
23/01/09;386
24/01/09;364
25/01/09;369
26/01/09;368
27/01/09;370
28/01/09;352
29/01/09;368
30/01/09;336
31/01/09;317
01/02/09;356
02/02/09;381
03/02/09;355
04/02/09;311
05/02/09;333
06/02/09;356
07/02/09;294
08/02/09;327
09/02/09;391
10/02/09;335
11/02/09;369
12/02/09;350
13/02/09;355
14/02/09;313
15/02/09;338
16/02/09;346
17/02/09;348
18/02/09;317
19/02/09;285
20/02/09;321
21/02/09;316
22/02/09;311
23/02/09;358
24/02/09;356
25/02/09;359
26/02/09;364
27/02/09;358
28/02/09;324
01/03/09;347
02/03/09;328
03/03/09;327
04/03/09;304
05/03/09;323
06/03/09;331
07/03/09;299
08/03/09;297
09/03/09;347
10/03/09;294
11/03/09;313
12/03/09;300
13/03/09;342
14/03/09;302
15/03/09;330
16/03/09;315
17/03/09;294
18/03/09;308
19/03/09;289
20/03/09;300
21/03/09;282
22/03/09;279
23/03/09;306
24/03/09;308
25/03/09;284
26/03/09;280
27/03/09;277
28/03/09;275
29/03/09;255
30/03/09;282
31/03/09;268
01/04/09;286
02/04/09;285
03/04/09;294
04/04/09;272
05/04/09;268
06/04/09;286
07/04/09;283
08/04/09;294
09/04/09;279
10/04/09;257
11/04/09;286
12/04/09;255
13/04/09;301
14/04/09;296
15/04/09;287
16/04/09;248
17/04/09;288
18/04/09;298
19/04/09;266
20/04/09;277
21/04/09;298
22/04/09;285
23/04/09;299
24/04/09;315
25/04/09;274
26/04/09;272
27/04/09;265
28/04/09;315
29/04/09;298
30/04/09;264
01/05/09;240
02/05/09;265
03/05/09;280
04/05/09;301
05/05/09;301
06/05/09;291
07/05/09;258
08/05/09;252
09/05/09;272
10/05/09;261
11/05/09;264
12/05/09;285
13/05/09;260
14/05/09;241
15/05/09;253
16/05/09;266
17/05/09;237
18/05/09;256
19/05/09;287
20/05/09;267
21/05/09;242
22/05/09;272
23/05/09;283
24/05/09;270
25/05/09;246
26/05/09;263
27/05/09;240
28/05/09;255
29/05/09;284
30/05/09;262
31/05/09;300
01/06/09;301
02/06/09;271
03/06/09;270
04/06/09;254
05/06/09;248
06/06/09;249
07/06/09;233
08/06/09;256
