place;day;time;t2;hr;pp;cl;ws;wd
Cabril;20190530;0;13.3;68.65;0.0;0.0;1.91;70.79
Cabril;20190530;1;13.97;73.68;0.0;0.0;4.71;93.31
Cabril;20190530;2;14.06;70.24;0.0;0.0;6.59;97.89
Cabril;20190530;3;13.36;73.03;0.0;0.0;6.91;97.02
Cabril;20190530;4;13.06;74.4;0.0;0.0;6.94;97.05
Cabril;20190530;5;12.81;74.2;0.0;0.0;6.9;97.15
Cabril;20190530;6;13.0;71.75;0.0;0.0;6.71;97.84
Cabril;20190530;7;14.59;65.84;0.0;0.0;6.45;99.36
Cabril;20190530;8;16.58;58.65;0.0;0.0;5.97;101.86
Cabril;20190530;9;18.84;52.36;0.0;0.0;5.19;103.49
Cabril;20190530;10;20.76;48.19;0.0;0.0;4.49;106.1
Cabril;20190530;11;22.78;41.85;0.0;0.0;2.9;105.21
Cabril;20190530;12;24.39;37.56;0.0;0.0;1.94;102.14
Cabril;20190530;13;25.6;34.94;0.0;0.0;1.43;98.74
Cabril;20190530;14;26.53;33.48;0.0;0.0;1.01;74.51
Cabril;20190530;15;26.96;33.32;0.0;0.0;0.86;52.59
Cabril;20190530;16;26.92;33.89;0.0;0.0;0.87;58.66
Cabril;20190530;17;26.52;35.28;0.0;0.0;1.12;86.58
Cabril;20190530;18;25.69;39.42;0.0;0.0;1.69;110.16
Cabril;20190530;19;24.29;57.73;0.0;0.0;1.38;134.26
Cabril;20190530;20;21.28;75.64;0.0;0.0;0.49;108.98
Cabril;20190530;21;19.69;76.8;0.0;0.0;1.12;72.35
Cabril;20190530;22;18.64;76.87;0.0;0.0;1.82;78.3
Cabril;20190530;23;17.78;77.95;0.0;0.0;2.03;78.34
Cabril;20190531;0;17.19;78.74;0.0;0.0;1.97;80.38
Cabril;20190531;1;16.79;77.85;0.0;0.0;1.82;93.94
Cabril;20190531;2;16.38;75.84;0.0;0.0;1.97;102.55
Cabril;20190531;3;16.28;67.78;0.0;0.0;3.66;100.29
Cabril;20190531;4;15.93;66.6;0.0;0.0;4.91;94.19
Cabril;20190531;5;15.52;68.61;0.0;0.0;5.23;97.28
Cabril;20190531;6;15.7;69.45;0.0;0.0;5.28;99.54
Cabril;20190531;7;17.6;65.72;0.0;0.0;5.28;99.93
Cabril;20190531;8;19.78;58.05;0.0;0.0;5.03;105.62
Cabril;20190531;9;21.87;51.19;0.0;0.0;4.39;111.54
Cabril;20190531;10;23.74;44.5;0.0;0.0;3.42;125.71
Cabril;20190531;11;25.25;38.32;0.0;0.0;2.36;140.71
Cabril;20190531;12;26.26;35.4;0.0;0.0;1.78;153.84
Cabril;20190531;13;27.03;34.09;0.0;0.0;1.4;179.04
Cabril;20190531;14;27.49;33.7;0.0;0.0;1.37;212.45
Cabril;20190531;15;27.61;34.73;0.0;0.0;1.8;240.51
Cabril;20190531;16;27.26;37.43;0.0;0.0;2.43;257.24
Cabril;20190531;17;26.34;42.02;0.0;0.0;3.06;265.83
